视频地址,弹幕地址,弹幕时间,弹幕内容
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-03 17:30,BBC:中国鄙视外国人，不要求外国人进入冬奥会会场
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-02 19:16,基建狂魔开启模块化道路
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-02 20:20,想起植物大战僵尸。。。
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-02 22:01,好耶ヾ(Ő∀Ő๑)ﾉ太好惹
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-02 20:34,这可以省很多小钱钱
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-02 20:35,篮球冻手哈哈哈
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-02 19:00,这才是大国风范
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-02 19:26,教教日本人什么叫做环保
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-02 19:33,什么叫负责任的奥运会啊(后仰)
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-02 19:23,不能说没有夏奥好看，只是冬奥的项目普通人接触的少，所以观赏起来有些障碍。
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-10 20:06,好怕有恶意带毒的又来搞破坏
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-02 23:11,可以售纪念票，多搞点小钱钱
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-02 21:49,让隔壁岛国看看什么TM的叫TM的真正的奥运会
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-02 20:34,21天还是有点儿少了。小心复阳啊，要留有后手
